"","clientId","sex","orderdate","cart","to","ord"
"124",36,"female",2012-01-19,"a;b",2012-03-16,"ord1"
"125",36,"female",2012-03-17,"a;b;c",2012-03-31,"ord2"
"126",37,"male",2012-03-04,"a;b",2012-03-31,"ord1"
"127",38,"male",2012-01-15,"a;b",2012-01-19,"ord1"
"128",38,"male",2012-01-20,"b",2012-03-11,"ord2"
"129",38,"male",2012-03-12,"a;b;c",2012-03-23,"ord3"
"130",38,"male",2012-03-24,"a;b;c",2012-03-27,"ord4"
"131",38,"male",2012-03-28,"a;c",2012-03-31,"ord5"
"132",39,"male",2012-01-12,"a",2012-02-09,"ord1"
"133",39,"male",2012-02-10,"a;c",2012-03-16,"ord2"
"134",39,"male",2012-03-17,"a;c",2012-03-31,"ord3"
"135",40,"female",2012-01-11,"a;b;c",2012-02-24,"ord1"
"136",40,"female",2012-02-25,"a;b;c",2012-02-26,"ord2"
"137",40,"female",2012-02-27,"a;b",2012-02-28,"ord3"
"138",40,"female",2012-02-29,"a;b",2012-02-29,"ord4"
"139",40,"female",2012-03-01,"a;b;c",2012-03-13,"ord5"
"140",40,"female",2012-03-14,"a",2012-03-15,"ord6"
"141",40,"female",2012-03-16,"a",2012-03-31,"ord7"
"142",41,"female",2012-01-23,"a",2012-02-19,"ord1"
"143",41,"female",2012-02-20,"b;c",2012-03-01,"ord2"
"144",41,"female",2012-03-02,"a;b;c",2012-03-07,"ord3"
"145",41,"female",2012-03-08,"a;b",2012-03-29,"ord4"
"146",41,"female",2012-03-30,"nopurch",2012-04-01,"ord5"
"147",42,"female",2012-01-04,"a",2012-02-15,"ord1"
"148",42,"female",2012-02-16,"a;b",2012-02-28,"ord2"
"149",42,"female",2012-02-29,"b;c",2012-03-04,"ord3"
"150",42,"female",2012-03-05,"c",2012-03-31,"ord4"
"151",43,"male",2012-01-19,"a;b;c",2012-03-21,"ord1"
"152",43,"male",2012-03-22,"a",2012-03-31,"ord2"
"153",44,"male",2012-01-21,"b",2012-01-24,"ord1"
"154",44,"male",2012-01-25,"a;b",2012-02-16,"ord2"
"155",44,"male",2012-02-17,"a;b;c",2012-03-11,"ord3"
"156",44,"male",2012-03-12,"a;b",2012-03-31,"ord4"
"157",45,"male",2012-03-11,"a;b",2012-03-31,"ord1"
"158",46,"female",2012-01-16,"a",2012-01-24,"ord1"
"159",46,"female",2012-01-25,"a",2012-03-10,"ord2"
"160",46,"female",2012-03-11,"a;c",2012-03-26,"ord3"
"161",46,"female",2012-03-27,"a;b;c",2012-03-27,"ord4"
"162",46,"female",2012-03-28,"a;c",2012-03-31,"ord5"
"163",47,"male",2012-02-16,"a;b",2012-02-22,"ord1"
"164",47,"male",2012-02-23,"a;b",2012-02-29,"ord2"
"165",47,"male",2012-03-01,"a;b;c",2012-03-10,"ord3"
"166",47,"male",2012-03-11,"nopurch",2012-04-01,"ord4"
"167",48,"male",2012-01-11,"a;b",2012-02-09,"ord1"
"168",48,"male",2012-02-10,"nopurch",2012-04-01,"ord2"
"169",49,"female",2012-01-07,"a;b",2012-01-19,"ord1"
"170",49,"female",2012-01-20,"a;c",2012-01-23,"ord2"
"171",49,"female",2012-01-24,"a;b",2012-01-27,"ord3"
"172",49,"female",2012-01-28,"a;b",2012-02-14,"ord4"
"173",49,"female",2012-02-15,"a;c",2012-02-16,"ord5"
"174",49,"female",2012-02-17,"a;b;c",2012-03-19,"ord6"
"175",49,"female",2012-03-20,"a;b;c",2012-03-31,"ord7"
"176",51,"female",2012-03-14,"a;c",2012-03-31,"ord1"
"177",52,"male",2012-01-11,"a;b;c",2012-01-25,"ord1"
"178",52,"male",2012-01-26,"a;c",2012-02-17,"ord2"
"179",52,"male",2012-02-18,"a",2012-03-11,"ord3"
"180",52,"male",2012-03-12,"a",2012-03-13,"ord4"
"181",52,"male",2012-03-14,"a;b;c",2012-03-31,"ord5"
"182",53,"female",2012-01-03,"a",2012-03-04,"ord1"
"183",53,"female",2012-03-05,"a;c",2012-03-31,"ord2"
"184",54,"female",2012-01-03,"a;b",2012-02-19,"ord1"
"185",54,"female",2012-02-20,"a;b",2012-03-31,"ord2"
"186",55,"female",2012-01-29,"a;b;c",2012-02-05,"ord1"
"187",55,"female",2012-02-06,"a;b;c",2012-02-11,"ord2"
"188",55,"female",2012-02-12,"a;c",2012-03-03,"ord3"
"189",55,"female",2012-03-04,"a;b;c",2012-03-17,"ord4"
"190",55,"female",2012-03-18,"a;b;c",2012-03-20,"ord5"
"191",55,"female",2012-03-21,"a",2012-03-31,"ord6"
"192",56,"female",2012-01-08,"a;c",2012-02-06,"ord1"
"193",56,"female",2012-02-07,"nopurch",2012-04-01,"ord2"
"194",57,"male",2012-01-18,"a;b",2012-01-29,"ord1"
"195",57,"male",2012-01-30,"a",2012-02-03,"ord2"
"196",57,"male",2012-02-04,"a",2012-02-06,"ord3"
"197",57,"male",2012-02-07,"a;b;c",2012-02-11,"ord4"
"198",57,"male",2012-02-12,"a;b;c",2012-02-20,"ord5"
"199",57,"male",2012-02-21,"nopurch",2012-04-01,"ord6"
"200",58,"female",2012-01-18,"a;b;c",2012-02-22,"ord1"
"201",58,"female",2012-02-23,"a;b",2012-03-09,"ord2"
"202",58,"female",2012-03-10,"a;b",2012-03-31,"ord3"
"203",59,"female",2012-02-09,"a;b;c",2012-03-09,"ord1"
"204",59,"female",2012-03-10,"nopurch",2012-04-01,"ord2"
"205",60,"female",2012-01-24,"a;b",2012-03-21,"ord1"
"206",60,"female",2012-03-22,"a;b",2012-03-31,"ord2"
"207",61,"female",2012-01-11,"a;b",2012-02-09,"ord1"
"208",61,"female",2012-02-10,"nopurch",2012-04-01,"ord2"
"209",62,"female",2012-01-04,"a;b",2012-02-29,"ord1"
"210",62,"female",2012-03-01,"a;b",2012-03-08,"ord2"
"211",62,"female",2012-03-09,"b",2012-03-18,"ord3"
"212",62,"female",2012-03-19,"a;b;c",2012-03-31,"ord4"
"213",64,"male",2012-01-07,"a",2012-01-29,"ord1"
"214",64,"male",2012-01-30,"a",2012-02-29,"ord2"
"215",64,"male",2012-03-01,"a;b",2012-03-31,"ord3"
"216",65,"male",2012-02-29,"a;b",2012-03-08,"ord1"
"217",65,"male",2012-03-09,"a;b",2012-03-18,"ord2"
"218",65,"male",2012-03-19,"a;b",2012-03-31,"ord3"
"219",66,"female",2012-01-12,"a;b;c",2012-01-16,"ord1"
"220",66,"female",2012-01-17,"a;b",2012-03-28,"ord2"
"221",66,"female",2012-03-29,"a;b",2012-03-31,"ord3"
"222",67,"female",2012-02-06,"a;b;c",2012-02-23,"ord1"
"223",67,"female",2012-02-24,"a;b;c",2012-03-21,"ord2"
"224",67,"female",2012-03-22,"nopurch",2012-04-01,"ord3"
"225",68,"male",2012-01-29,"a;b",2012-01-31,"ord1"
"226",68,"male",2012-02-01,"a;b;c",2012-02-09,"ord2"
"227",68,"male",2012-02-10,"a;b",2012-02-25,"ord3"
"228",68,"male",2012-02-26,"a",2012-03-10,"ord4"
"229",68,"male",2012-03-11,"nopurch",2012-04-01,"ord5"
"230",69,"male",2012-01-19,"a;b",2012-02-29,"ord1"
"231",69,"male",2012-03-01,"a;b",2012-03-29,"ord2"
"232",69,"male",2012-03-30,"a;b;c",2012-03-31,"ord3"
"233",70,"female",2012-01-17,"a;b;c",2012-02-21,"ord1"
"234",70,"female",2012-02-22,"a;b",2012-02-24,"ord2"
"235",70,"female",2012-02-25,"a",2012-03-15,"ord3"
"236",70,"female",2012-03-16,"a",2012-03-31,"ord4"
"237",71,"female",2012-01-16,"a;c",2012-02-07,"ord1"
"238",71,"female",2012-02-08,"a;c",2012-02-19,"ord2"
"239",71,"female",2012-02-20,"a;c",2012-03-04,"ord3"
"240",71,"female",2012-03-05,"a;b;c",2012-03-12,"ord4"
"241",71,"female",2012-03-13,"a;c",2012-03-19,"ord5"
"242",71,"female",2012-03-20,"a;c",2012-03-20,"ord6"
"243",71,"female",2012-03-21,"a",2012-03-21,"ord7"
"244",71,"female",2012-03-22,"b;c",2012-03-31,"ord8"
"245",72,"female",2012-01-20,"b;c",2012-01-23,"ord1"
"246",72,"female",2012-01-24,"a;b;c",2012-03-07,"ord2"
"247",72,"female",2012-03-08,"a;b;c",2012-03-19,"ord3"
"248",72,"female",2012-03-20,"a",2012-03-20,"ord4"
"249",72,"female",2012-03-21,"a;b;c",2012-03-31,"ord5"
"250",73,"female",2012-02-07,"a;b;c",2012-02-20,"ord1"
"251",73,"female",2012-02-21,"a",2012-03-12,"ord2"
"252",73,"female",2012-03-13,"nopurch",2012-04-01,"ord3"
"253",75,"female",2012-02-20,"b",2012-03-01,"ord1"
"254",75,"female",2012-03-02,"a;c",2012-03-17,"ord2"
"255",75,"female",2012-03-18,"a;b",2012-03-22,"ord3"
"256",75,"female",2012-03-23,"a;b",2012-03-31,"ord4"
"257",76,"male",2012-02-18,"a",2012-03-06,"ord1"
"258",76,"male",2012-03-07,"a;b;c",2012-03-21,"ord2"
"259",76,"male",2012-03-22,"a;b",2012-03-31,"ord3"
"260",77,"male",2012-01-14,"a",2012-01-18,"ord1"
"261",77,"male",2012-01-19,"a;c",2012-02-23,"ord2"
"262",77,"male",2012-02-24,"a",2012-03-21,"ord3"
"263",77,"male",2012-03-22,"a;b;c",2012-03-31,"ord4"
"264",78,"female",2012-02-02,"a;b;c",2012-03-06,"ord1"
"265",78,"female",2012-03-07,"a;b",2012-03-07,"ord2"
"266",78,"female",2012-03-08,"a;b",2012-03-10,"ord3"
"267",78,"female",2012-03-11,"a",2012-03-29,"ord4"
"268",78,"female",2012-03-30,"nopurch",2012-04-01,"ord5"
"269",79,"female",2012-01-07,"a;c",2012-01-13,"ord1"
"270",79,"female",2012-01-14,"a;b;c",2012-02-28,"ord2"
"271",79,"female",2012-02-29,"a",2012-03-20,"ord3"
"272",79,"female",2012-03-21,"a",2012-03-23,"ord4"
"273",79,"female",2012-03-24,"a;b",2012-03-31,"ord5"
"274",82,"male",2012-03-12,"a;b;c",2012-03-31,"ord1"
"275",83,"female",2012-03-28,"a;b;c",2012-03-31,"ord1"
"276",84,"male",2012-01-19,"a;b",2012-03-07,"ord1"
"277",84,"male",2012-03-08,"a;b;c",2012-03-31,"ord2"
"278",85,"male",2012-01-10,"a",2012-01-19,"ord1"
"279",85,"male",2012-01-20,"a;b;c",2012-02-03,"ord2"
"280",85,"male",2012-02-04,"nopurch",2012-04-01,"ord3"
"281",86,"female",2012-01-23,"a",2012-03-03,"ord1"
"282",86,"female",2012-03-04,"a;b;c",2012-03-31,"ord2"
"283",87,"female",2012-03-21,"a;b",2012-03-31,"ord1"
"284",88,"male",2012-01-02,"b",2012-01-13,"ord1"
"285",88,"male",2012-01-14,"a;b;c",2012-01-23,"ord2"
"286",88,"male",2012-01-24,"a;c",2012-01-27,"ord3"
"287",88,"male",2012-01-28,"b;c",2012-02-22,"ord4"
"288",88,"male",2012-02-23,"a;b",2012-03-13,"ord5"
"289",88,"male",2012-03-14,"nopurch",2012-04-01,"ord6"
"290",89,"male",2012-01-25,"a",2012-02-10,"ord1"
"291",89,"male",2012-02-11,"a;b;c",2012-03-07,"ord2"
"292",89,"male",2012-03-08,"nopurch",2012-04-01,"ord3"
"293",90,"female",2012-01-08,"a;b",2012-03-03,"ord1"
"294",90,"female",2012-03-04,"a;b;c",2012-03-31,"ord2"
"295",91,"male",2012-01-04,"a;c",2012-03-12,"ord1"
"296",91,"male",2012-03-13,"a;b;c",2012-03-29,"ord2"
"297",91,"male",2012-03-30,"a;b;c",2012-03-31,"ord3"
"298",92,"male",2012-01-06,"a",2012-02-04,"ord1"
"299",92,"male",2012-02-05,"nopurch",2012-04-01,"ord2"
"300",93,"female",2012-01-08,"a;b",2012-02-04,"ord1"
"301",93,"female",2012-02-05,"a;c",2012-02-11,"ord2"
"302",93,"female",2012-02-12,"a",2012-02-20,"ord3"
"303",93,"female",2012-02-21,"a;b;c",2012-03-11,"ord4"
"304",93,"female",2012-03-12,"a;b",2012-03-21,"ord5"
"305",93,"female",2012-03-22,"a;b",2012-03-31,"ord6"
"306",94,"male",2012-02-28,"a;b;c",2012-03-04,"ord1"
"307",94,"male",2012-03-05,"a;b;c",2012-03-19,"ord2"
"308",94,"male",2012-03-20,"a;b",2012-03-25,"ord3"
"309",94,"male",2012-03-26,"a;b;c",2012-03-27,"ord4"
"310",94,"male",2012-03-28,"a;b",2012-03-31,"ord5"
"311",95,"male",2012-01-18,"a;b;c",2012-02-10,"ord1"
"312",95,"male",2012-02-11,"a;b",2012-03-17,"ord2"
"313",95,"male",2012-03-18,"nopurch",2012-04-01,"ord3"
"314",96,"male",2012-01-23,"a;c",2012-02-13,"ord1"
"315",96,"male",2012-02-14,"a;b",2012-02-24,"ord2"
"316",96,"male",2012-02-25,"a;b",2012-03-15,"ord3"
"317",96,"male",2012-03-16,"a;b",2012-03-16,"ord4"
"318",96,"male",2012-03-17,"a",2012-03-20,"ord5"
"319",96,"male",2012-03-21,"a;b;c",2012-03-31,"ord6"
"320",97,"female",2012-03-15,"a",2012-03-31,"ord1"
"321",98,"female",2012-02-08,"a;b",2012-02-22,"ord1"
"322",98,"female",2012-02-23,"a;c",2012-02-23,"ord2"
"323",98,"female",2012-02-24,"a;b;c",2012-03-08,"ord3"
"324",98,"female",2012-03-09,"a;b",2012-03-23,"ord4"
"325",98,"female",2012-03-24,"nopurch",2012-04-01,"ord5"
"326",99,"female",2012-01-08,"b",2012-01-13,"ord1"
"327",99,"female",2012-01-14,"a",2012-01-16,"ord2"
"328",99,"female",2012-01-17,"a;b",2012-03-10,"ord3"
"329",99,"female",2012-03-11,"a;c",2012-03-17,"ord4"
"330",99,"female",2012-03-18,"a;b",2012-03-31,"ord5"
"331",100,"male",2012-01-04,"a",2012-01-09,"ord1"
"332",100,"male",2012-01-10,"a;b",2012-03-15,"ord2"
"333",100,"male",2012-03-16,"a;b;c",2012-03-26,"ord3"
"334",100,"male",2012-03-27,"a",2012-03-31,"ord4"
"335",101,"female",2012-02-16,"b;c",2012-03-19,"ord1"
"336",101,"female",2012-03-20,"a;c",2012-03-23,"ord2"
"337",101,"female",2012-03-24,"a;b",2012-03-31,"ord3"
"338",102,"female",2012-03-21,"a;b;c",2012-03-31,"ord1"
"339",103,"female",2012-02-21,"a;b;c",2012-03-05,"ord1"
"340",103,"female",2012-03-06,"a;c",2012-03-09,"ord2"
"341",103,"female",2012-03-10,"a",2012-03-11,"ord3"
"342",103,"female",2012-03-12,"a",2012-03-15,"ord4"
"343",103,"female",2012-03-16,"a;c",2012-03-26,"ord5"
"344",103,"female",2012-03-27,"a;c",2012-03-31,"ord6"
"345",104,"male",2012-01-07,"a;b;c",2012-01-19,"ord1"
"346",104,"male",2012-01-20,"a;b;c",2012-02-28,"ord2"
"347",104,"male",2012-02-29,"a;c",2012-03-22,"ord3"
"348",104,"male",2012-03-23,"b;c",2012-03-31,"ord4"
"349",105,"female",2012-01-04,"a;b",2012-01-18,"ord1"
"350",105,"female",2012-01-19,"a;c",2012-01-23,"ord2"
"351",105,"female",2012-01-24,"a;b;c",2012-01-27,"ord3"
"352",105,"female",2012-01-28,"a;b",2012-02-04,"ord4"
"353",105,"female",2012-02-05,"a;b;c",2012-02-07,"ord5"
"354",105,"female",2012-02-08,"a;b;c",2012-02-20,"ord6"
"355",105,"female",2012-02-21,"c",2012-02-23,"ord7"
"356",105,"female",2012-02-24,"a;b",2012-03-05,"ord8"
"357",105,"female",2012-03-06,"nopurch",2012-04-01,"ord9"
"358",106,"male",2012-01-25,"a;c",2012-02-11,"ord1"
"359",106,"male",2012-02-12,"a;b",2012-03-04,"ord2"
"360",106,"male",2012-03-05,"a;b",2012-03-24,"ord3"
"361",106,"male",2012-03-25,"a;c",2012-03-31,"ord4"
"362",107,"female",2012-01-05,"a;b",2012-01-19,"ord1"
"363",107,"female",2012-01-20,"a;b",2012-01-25,"ord2"
"364",107,"female",2012-01-26,"a;b",2012-02-25,"ord3"
"365",107,"female",2012-02-26,"a;b",2012-03-25,"ord4"
"366",107,"female",2012-03-26,"a",2012-03-31,"ord5"
"367",108,"female",2012-01-16,"a",2012-02-13,"ord1"
"368",108,"female",2012-02-14,"a;b;c",2012-02-23,"ord2"
"369",108,"female",2012-02-24,"a;c",2012-03-21,"ord3"
"370",108,"female",2012-03-22,"a",2012-03-31,"ord4"
"371",109,"female",2012-01-08,"a;b",2012-01-08,"ord1"
"372",109,"female",2012-01-09,"a;b",2012-01-18,"ord2"
"373",109,"female",2012-01-19,"a;b",2012-02-11,"ord3"
"374",109,"female",2012-02-12,"a;b",2012-02-28,"ord4"
"375",109,"female",2012-02-29,"a;b",2012-03-05,"ord5"
"376",109,"female",2012-03-06,"a;b;c",2012-03-06,"ord6"
"377",109,"female",2012-03-07,"a;b",2012-03-07,"ord7"
"378",109,"female",2012-03-08,"a;c",2012-03-20,"ord8"
"379",109,"female",2012-03-21,"nopurch",2012-04-01,"ord9"
"380",110,"female",2012-01-13,"a;b;c",2012-01-19,"ord1"
"381",110,"female",2012-01-20,"a;c",2012-02-01,"ord2"
"382",110,"female",2012-02-02,"a",2012-02-12,"ord3"
"383",110,"female",2012-02-13,"a;b;c",2012-03-30,"ord4"
"384",110,"female",2012-03-31,"a;b;c",2012-03-31,"ord5"
"385",111,"male",2012-01-07,"a;b;c",2012-02-14,"ord1"
"386",111,"male",2012-02-15,"a;b",2012-03-31,"ord2"
"387",112,"male",2012-02-04,"a",2012-02-16,"ord1"
"388",112,"male",2012-02-17,"a;c",2012-03-07,"ord2"
"389",112,"male",2012-03-08,"nopurch",2012-04-01,"ord3"
"390",113,"female",2012-01-02,"a;b",2012-01-15,"ord1"
"391",113,"female",2012-01-16,"a;b",2012-01-21,"ord2"
"392",113,"female",2012-01-22,"a",2012-01-25,"ord3"
"393",113,"female",2012-01-26,"a;b",2012-02-11,"ord4"
"394",113,"female",2012-02-12,"a",2012-03-15,"ord5"
"395",113,"female",2012-03-16,"a;b;c",2012-03-29,"ord6"
"396",113,"female",2012-03-30,"a;b;c",2012-03-31,"ord7"
"397",114,"female",2012-01-10,"a;b;c",2012-01-26,"ord1"
"398",114,"female",2012-01-27,"a;c",2012-01-27,"ord2"
"399",114,"female",2012-01-28,"b;c",2012-01-29,"ord3"
"400",114,"female",2012-01-30,"a;b;c",2012-02-02,"ord4"
"401",114,"female",2012-02-03,"a;b",2012-02-21,"ord5"
"402",114,"female",2012-02-22,"a;b",2012-02-27,"ord6"
"403",114,"female",2012-02-28,"a;b;c",2012-03-14,"ord7"
"404",114,"female",2012-03-15,"a;b;c",2012-03-28,"ord8"
"405",114,"female",2012-03-29,"nopurch",2012-04-01,"ord9"
"406",115,"male",2012-01-17,"a;c",2012-02-03,"ord1"
"407",115,"male",2012-02-04,"a",2012-02-04,"ord2"
"408",115,"male",2012-02-05,"a;b",2012-02-29,"ord3"
"409",115,"male",2012-03-01,"a;c",2012-03-11,"ord4"
"410",115,"male",2012-03-12,"a",2012-03-12,"ord5"
"411",115,"male",2012-03-13,"a;b;c",2012-03-29,"ord6"
"412",115,"male",2012-03-30,"nopurch",2012-04-01,"ord7"
"413",116,"male",2012-01-17,"a;b;c",2012-02-17,"ord1"
"414",116,"male",2012-02-18,"a;b",2012-02-23,"ord2"
"415",116,"male",2012-02-24,"a",2012-03-04,"ord3"
"416",116,"male",2012-03-05,"a;b",2012-03-28,"ord4"
"417",116,"male",2012-03-29,"nopurch",2012-04-01,"ord5"
"418",117,"female",2012-01-06,"a;b",2012-03-11,"ord1"
"419",117,"female",2012-03-12,"a;b",2012-03-22,"ord2"
"420",117,"female",2012-03-23,"b;c",2012-03-31,"ord3"
