"","clientId","sex","orderdate","cart"
"86",27,"female",2012-02-08,"a;b"
"87",28,"male",2012-01-10,"a"
"88",28,"male",2012-01-29,"a;c"
"89",28,"male",2012-02-25,"a"
"90",28,"male",2012-03-04,"a;b"
"91",29,"male",2012-02-24,"a"
"92",29,"male",2012-03-07,"a"
"93",29,"male",2012-03-08,"a;b"
"94",29,"male",2012-03-25,"a;b;c"
"95",30,"male",2012-01-15,"a;b;c"
"96",30,"male",2012-02-15,"a;b"
"97",31,"female",2012-02-09,"a;b"
"98",32,"female",2012-01-04,"a;b;c"
"99",32,"female",2012-01-07,"a;b"
"100",32,"female",2012-01-25,"a;c"
"101",32,"female",2012-02-12,"a"
"102",32,"female",2012-02-25,"a;c"
"103",33,"female",2012-01-10,"a;b;c"
"104",33,"female",2012-01-17,"a;b;c"
"105",33,"female",2012-03-07,"a;b;c"
"106",33,"female",2012-03-26,"a;b;c"
"107",34,"female",2012-01-16,"a"
"108",34,"female",2012-02-13,"a;b"
"109",34,"female",2012-02-17,"a;b;c"
"110",34,"female",2012-03-23,"a;b"
"111",34,"female",2012-03-27,"a;b"
"112",35,"female",2012-01-10,"a;b;c"
"113",35,"female",2012-01-17,"a"
"114",35,"female",2012-03-20,"a"
"115",36,"female",2012-01-19,"a;b"
"116",36,"female",2012-03-17,"a;b;c"
"117",37,"male",2012-03-04,"a;b"
"118",38,"male",2012-01-15,"a;b"
"119",38,"male",2012-01-20,"b"
"120",38,"male",2012-03-12,"a;b;c"
"121",38,"male",2012-03-24,"a;b;c"
"122",38,"male",2012-03-28,"a;c"
"123",39,"male",2012-01-12,"a"
"124",39,"male",2012-02-10,"a;c"
"125",39,"male",2012-03-17,"a;c"
"126",40,"female",2012-01-11,"a;b;c"
"127",40,"female",2012-02-25,"a;b;c"
"128",40,"female",2012-02-27,"a;b"
"129",40,"female",2012-02-29,"a;b"
"130",40,"female",2012-03-01,"a;b;c"
"131",40,"female",2012-03-14,"a"
"132",40,"female",2012-03-16,"a"
"133",41,"female",2012-01-23,"a"
"134",41,"female",2012-02-20,"b;c"
"135",41,"female",2012-03-02,"a;b;c"
"136",41,"female",2012-03-08,"a;b"
"137",42,"female",2012-01-04,"a"
"138",42,"female",2012-02-16,"a;b"
"139",42,"female",2012-02-29,"b;c"
"140",42,"female",2012-03-05,"c"
"141",43,"male",2012-01-19,"a;b;c"
"142",43,"male",2012-03-22,"a"
"143",44,"male",2012-01-21,"b"
"144",44,"male",2012-01-25,"a;b"
"145",44,"male",2012-02-17,"a;b;c"
"146",44,"male",2012-03-12,"a;b"
"147",45,"male",2012-03-11,"a;b"
"148",46,"female",2012-01-16,"a"
"149",46,"female",2012-01-25,"a"
"150",46,"female",2012-03-11,"a;c"
"151",46,"female",2012-03-27,"a;b;c"
"152",46,"female",2012-03-28,"a;c"
"153",47,"male",2012-02-16,"a;b"
"154",47,"male",2012-02-23,"a;b"
"155",47,"male",2012-03-01,"a;b;c"
"156",48,"male",2012-01-11,"a;b"
"157",49,"female",2012-01-07,"a;b"
"158",49,"female",2012-01-20,"a;c"
"159",49,"female",2012-01-24,"a;b"
"160",49,"female",2012-01-28,"a;b"
"161",49,"female",2012-02-15,"a;c"
"162",49,"female",2012-02-17,"a;b;c"
"163",49,"female",2012-03-20,"a;b;c"
"164",51,"female",2012-03-14,"a;c"
"165",52,"male",2012-01-11,"a;b;c"
"166",52,"male",2012-01-26,"a;c"
"167",52,"male",2012-02-18,"a"
"168",52,"male",2012-03-12,"a"
"169",52,"male",2012-03-14,"a;b;c"
"170",53,"female",2012-01-03,"a"
"171",53,"female",2012-03-05,"a;c"
"172",54,"female",2012-01-03,"a;b"
"173",54,"female",2012-02-20,"a;b"
"174",55,"female",2012-01-29,"a;b;c"
"175",55,"female",2012-02-06,"a;b;c"
"176",55,"female",2012-02-12,"a;c"
"177",55,"female",2012-03-04,"a;b;c"
"178",55,"female",2012-03-18,"a;b;c"
"179",55,"female",2012-03-21,"a"
"180",56,"female",2012-01-08,"a;c"
"181",57,"male",2012-01-18,"a;b"
"182",57,"male",2012-01-30,"a"
"183",57,"male",2012-02-04,"a"
"184",57,"male",2012-02-07,"a;b;c"
"185",57,"male",2012-02-12,"a;b;c"
"186",58,"female",2012-01-18,"a;b;c"
"187",58,"female",2012-02-23,"a;b"
"188",58,"female",2012-03-10,"a;b"
"189",59,"female",2012-02-09,"a;b;c"
"190",60,"female",2012-01-24,"a;b"
"191",60,"female",2012-03-22,"a;b"
"192",61,"female",2012-01-11,"a;b"
"193",62,"female",2012-01-04,"a;b"
"194",62,"female",2012-03-01,"a;b"
"195",62,"female",2012-03-09,"b"
"196",62,"female",2012-03-19,"a;b;c"
"197",64,"male",2012-01-07,"a"
"198",64,"male",2012-01-30,"a"
"199",64,"male",2012-03-01,"a;b"
"200",65,"male",2012-02-29,"a;b"
"201",65,"male",2012-03-09,"a;b"
"202",65,"male",2012-03-19,"a;b"
"203",66,"female",2012-01-12,"a;b;c"
"204",66,"female",2012-01-17,"a;b"
"205",66,"female",2012-03-29,"a;b"
"206",67,"female",2012-02-06,"a;b;c"
"207",67,"female",2012-02-24,"a;b;c"
"208",68,"male",2012-01-29,"a;b"
"209",68,"male",2012-02-01,"a;b;c"
"210",68,"male",2012-02-10,"a;b"
"211",68,"male",2012-02-26,"a"
"212",69,"male",2012-01-19,"a;b"
"213",69,"male",2012-03-01,"a;b"
"214",69,"male",2012-03-30,"a;b;c"
"215",70,"female",2012-01-17,"a;b;c"
"216",70,"female",2012-02-22,"a;b"
"217",70,"female",2012-02-25,"a"
"218",70,"female",2012-03-16,"a"
"219",71,"female",2012-01-16,"a;c"
"220",71,"female",2012-02-08,"a;c"
"221",71,"female",2012-02-20,"a;c"
"222",71,"female",2012-03-05,"a;b;c"
"223",71,"female",2012-03-13,"a;c"
"224",71,"female",2012-03-20,"a;c"
"225",71,"female",2012-03-21,"a"
"226",71,"female",2012-03-22,"b;c"
"227",72,"female",2012-01-20,"b;c"
"228",72,"female",2012-01-24,"a;b;c"
"229",72,"female",2012-03-08,"a;b;c"
"230",72,"female",2012-03-20,"a"
"231",72,"female",2012-03-21,"a;b;c"
"232",73,"female",2012-02-07,"a;b;c"
"233",73,"female",2012-02-21,"a"
"234",75,"female",2012-02-20,"b"
"235",75,"female",2012-03-02,"a;c"
"236",75,"female",2012-03-18,"a;b"
"237",75,"female",2012-03-23,"a;b"
"238",76,"male",2012-02-18,"a"
"239",76,"male",2012-03-07,"a;b;c"
"240",76,"male",2012-03-22,"a;b"
"241",77,"male",2012-01-14,"a"
"242",77,"male",2012-01-19,"a;c"
"243",77,"male",2012-02-24,"a"
"244",77,"male",2012-03-22,"a;b;c"
"245",78,"female",2012-02-02,"a;b;c"
"246",78,"female",2012-03-07,"a;b"
"247",78,"female",2012-03-08,"a;b"
"248",78,"female",2012-03-11,"a"
"249",79,"female",2012-01-07,"a;c"
"250",79,"female",2012-01-14,"a;b;c"
"251",79,"female",2012-02-29,"a"
"252",79,"female",2012-03-21,"a"
"253",79,"female",2012-03-24,"a;b"
"254",82,"male",2012-03-12,"a;b;c"
"255",83,"female",2012-03-28,"a;b;c"
"256",84,"male",2012-01-19,"a;b"
"257",84,"male",2012-03-08,"a;b;c"
"258",85,"male",2012-01-10,"a"
"259",85,"male",2012-01-20,"a;b;c"
"260",86,"female",2012-01-23,"a"
"261",86,"female",2012-03-04,"a;b;c"
"262",87,"female",2012-03-21,"a;b"
"263",88,"male",2012-01-02,"b"
"264",88,"male",2012-01-14,"a;b;c"
"265",88,"male",2012-01-24,"a;c"
"266",88,"male",2012-01-28,"b;c"
"267",88,"male",2012-02-23,"a;b"
"268",89,"male",2012-01-25,"a"
"269",89,"male",2012-02-11,"a;b;c"
"270",90,"female",2012-01-08,"a;b"
"271",90,"female",2012-03-04,"a;b;c"
"272",91,"male",2012-01-04,"a;c"
"273",91,"male",2012-03-13,"a;b;c"
"274",91,"male",2012-03-30,"a;b;c"
"275",92,"male",2012-01-06,"a"
"276",93,"female",2012-01-08,"a;b"
"277",93,"female",2012-02-05,"a;c"
"278",93,"female",2012-02-12,"a"
"279",93,"female",2012-02-21,"a;b;c"
"280",93,"female",2012-03-12,"a;b"
"281",93,"female",2012-03-22,"a;b"
"282",94,"male",2012-02-28,"a;b;c"
"283",94,"male",2012-03-05,"a;b;c"
"284",94,"male",2012-03-20,"a;b"
"285",94,"male",2012-03-26,"a;b;c"
"286",94,"male",2012-03-28,"a;b"
"287",95,"male",2012-01-18,"a;b;c"
"288",95,"male",2012-02-11,"a;b"
"289",96,"male",2012-01-23,"a;c"
"290",96,"male",2012-02-14,"a;b"
"291",96,"male",2012-02-25,"a;b"
"292",96,"male",2012-03-16,"a;b"
"293",96,"male",2012-03-17,"a"
"294",96,"male",2012-03-21,"a;b;c"
"295",97,"female",2012-03-15,"a"
"296",98,"female",2012-02-08,"a;b"
"297",98,"female",2012-02-23,"a;c"
"298",98,"female",2012-02-24,"a;b;c"
"299",98,"female",2012-03-09,"a;b"
"300",99,"female",2012-01-08,"b"
"301",99,"female",2012-01-14,"a"
"302",99,"female",2012-01-17,"a;b"
"303",99,"female",2012-03-11,"a;c"
"304",99,"female",2012-03-18,"a;b"
"305",100,"male",2012-01-04,"a"
"306",100,"male",2012-01-10,"a;b"
"307",100,"male",2012-03-16,"a;b;c"
"308",100,"male",2012-03-27,"a"
"309",101,"female",2012-02-16,"b;c"
"310",101,"female",2012-03-20,"a;c"
"311",101,"female",2012-03-24,"a;b"
"312",102,"female",2012-03-21,"a;b;c"
"313",103,"female",2012-02-21,"a;b;c"
"314",103,"female",2012-03-06,"a;c"
"315",103,"female",2012-03-10,"a"
"316",103,"female",2012-03-12,"a"
"317",103,"female",2012-03-16,"a;c"
"318",103,"female",2012-03-27,"a;c"
"319",104,"male",2012-01-07,"a;b;c"
"320",104,"male",2012-01-20,"a;b;c"
"321",104,"male",2012-02-29,"a;c"
"322",104,"male",2012-03-23,"b;c"
"323",105,"female",2012-01-04,"a;b"
"324",105,"female",2012-01-19,"a;c"
"325",105,"female",2012-01-24,"a;b;c"
"326",105,"female",2012-01-28,"a;b"
"327",105,"female",2012-02-05,"a;b;c"
"328",105,"female",2012-02-08,"a;b;c"
"329",105,"female",2012-02-21,"c"
"330",105,"female",2012-02-24,"a;b"
"331",106,"male",2012-01-25,"a;c"
"332",106,"male",2012-02-12,"a;b"
"333",106,"male",2012-03-05,"a;b"
"334",106,"male",2012-03-25,"a;c"
"335",107,"female",2012-01-05,"a;b"
"336",107,"female",2012-01-20,"a;b"
"337",107,"female",2012-01-26,"a;b"
"338",107,"female",2012-02-26,"a;b"
"339",107,"female",2012-03-26,"a"
"340",108,"female",2012-01-16,"a"
"341",108,"female",2012-02-14,"a;b;c"
"342",108,"female",2012-02-24,"a;c"
"343",108,"female",2012-03-22,"a"
"344",109,"female",2012-01-08,"a;b"
"345",109,"female",2012-01-09,"a;b"
"346",109,"female",2012-01-19,"a;b"
"347",109,"female",2012-02-12,"a;b"
"348",109,"female",2012-02-29,"a;b"
"349",109,"female",2012-03-06,"a;b;c"
"350",109,"female",2012-03-07,"a;b"
"351",109,"female",2012-03-08,"a;c"
"352",110,"female",2012-01-13,"a;b;c"
"353",110,"female",2012-01-20,"a;c"
"354",110,"female",2012-02-02,"a"
"355",110,"female",2012-02-13,"a;b;c"
"356",110,"female",2012-03-31,"a;b;c"
"357",111,"male",2012-01-07,"a;b;c"
"358",111,"male",2012-02-15,"a;b"
"359",112,"male",2012-02-04,"a"
"360",112,"male",2012-02-17,"a;c"
"361",113,"female",2012-01-02,"a;b"
"362",113,"female",2012-01-16,"a;b"
"363",113,"female",2012-01-22,"a"
"364",113,"female",2012-01-26,"a;b"
"365",113,"female",2012-02-12,"a"
"366",113,"female",2012-03-16,"a;b;c"
"367",113,"female",2012-03-30,"a;b;c"
"368",114,"female",2012-01-10,"a;b;c"
"369",114,"female",2012-01-27,"a;c"
"370",114,"female",2012-01-28,"b;c"
"371",114,"female",2012-01-30,"a;b;c"
"372",114,"female",2012-02-03,"a;b"
"373",114,"female",2012-02-22,"a;b"
"374",114,"female",2012-02-28,"a;b;c"
"375",114,"female",2012-03-15,"a;b;c"
"376",115,"male",2012-01-17,"a;c"
"377",115,"male",2012-02-04,"a"
"378",115,"male",2012-02-05,"a;b"
"379",115,"male",2012-03-01,"a;c"
"380",115,"male",2012-03-12,"a"
"381",115,"male",2012-03-13,"a;b;c"
"382",116,"male",2012-01-17,"a;b;c"
"383",116,"male",2012-02-18,"a;b"
"384",116,"male",2012-02-24,"a"
"385",116,"male",2012-03-05,"a;b"
"386",117,"female",2012-01-06,"a;b"
"387",117,"female",2012-03-12,"a;b"
"388",117,"female",2012-03-23,"b;c"
"389",118,"female",2012-01-12,"a;b"
"390",118,"female",2012-02-10,"a;c"
"391",118,"female",2012-02-11,"a;c"
"392",119,"female",2012-01-12,"a;b"
"393",119,"female",2012-01-30,"a;c"
"394",120,"female",2012-02-03,"a;b"
"395",120,"female",2012-02-15,"a;b"
"396",120,"female",2012-02-19,"a;b"
"397",120,"female",2012-02-29,"a;b;c"
"398",121,"female",2012-02-02,"a;c"
"399",121,"female",2012-02-05,"a;c"
"400",121,"female",2012-02-06,"a;b"
"401",121,"female",2012-02-09,"a;b"
"402",121,"female",2012-03-21,"a;b;c"
"403",122,"male",2012-03-30,"a;b"
"404",123,"female",2012-01-16,"a;b;c"
"405",123,"female",2012-02-03,"a;c"
"406",123,"female",2012-03-28,"a;b;c"
"407",124,"female",2012-01-14,"a;c"
"408",124,"female",2012-01-26,"a;b"
"409",124,"female",2012-02-10,"a;b;c"
"410",124,"female",2012-02-22,"a;b"
"411",125,"female",2012-01-05,"a;b"
"412",125,"female",2012-02-25,"a"
"413",126,"male",2012-02-14,"a;b;c"
"414",127,"female",2012-01-17,"a"
"415",127,"female",2012-02-25,"a;c"
"416",128,"male",2012-02-15,"a"
"417",128,"male",2012-03-01,"a;b;c"
"418",128,"male",2012-03-10,"a;c"
"419",129,"male",2012-01-19,"a;b;c"
"420",129,"male",2012-02-14,"a;b"
"421",129,"male",2012-03-29,"a;b"
"422",131,"male",2012-01-05,"a;b;c"
"423",131,"male",2012-02-14,"a;b"
"424",131,"male",2012-03-27,"a;b"
"425",131,"male",2012-03-28,"a;b;c"
"426",132,"female",2012-01-16,"a;b"
"427",132,"female",2012-01-22,"a;b"
"428",132,"female",2012-01-31,"a;b"
"429",132,"female",2012-03-13,"a"
"430",133,"male",2012-02-23,"a"
"431",133,"male",2012-03-28,"a;b;c"
"432",134,"female",2012-02-01,"a;b;c"
"433",134,"female",2012-02-25,"a;b;c"
"434",134,"female",2012-03-04,"a;b"
"435",134,"female",2012-03-24,"b;c"
"436",135,"male",2012-01-04,"a;b"
"437",136,"male",2012-02-15,"a;b;c"
"438",136,"male",2012-02-22,"a;b"
"439",136,"male",2012-03-14,"a;b;c"
"440",136,"male",2012-03-17,"a;b"
"441",137,"male",2012-01-03,"a;b;c"
"442",137,"male",2012-02-05,"a;b;c"
"443",137,"male",2012-02-10,"a;b"
"444",137,"male",2012-02-15,"a;b"
"445",137,"male",2012-03-11,"a"
"446",138,"female",2012-01-14,"a;b"
"447",138,"female",2012-02-24,"a;b"
"448",138,"female",2012-03-12,"a;b"
"449",139,"female",2012-01-23,"a"
"450",139,"female",2012-02-05,"b"
"451",139,"female",2012-02-23,"a;b;c"
"452",139,"female",2012-03-03,"a;b"
"453",140,"male",2012-01-07,"a;b;c"
"454",140,"male",2012-02-06,"a;c"
"455",140,"male",2012-02-11,"a"
"456",140,"male",2012-02-14,"a;b"
"457",140,"male",2012-03-24,"a"
"458",141,"female",2012-02-01,"b;c"
"459",141,"female",2012-02-23,"a;b"
"460",141,"female",2012-03-25,"a"
"461",142,"male",2012-03-09,"a;b;c"
"462",142,"male",2012-03-16,"a;b"
"463",143,"female",2012-01-25,"b"
"464",143,"female",2012-03-13,"b;c"
"465",143,"female",2012-03-21,"a;b;c"
"466",144,"male",2012-01-07,"a;b;c"
"467",144,"male",2012-01-21,"a;c"
"468",144,"male",2012-02-09,"a;b"
"469",145,"female",2012-03-18,"a;b"
"470",146,"female",2012-01-28,"a;b"
"471",146,"female",2012-02-21,"a;b;c"
"472",147,"male",2012-01-26,"a;b;c"
"473",147,"male",2012-02-20,"a"
"474",147,"male",2012-02-21,"a;b"
"475",147,"male",2012-03-09,"a;c"
"476",147,"male",2012-03-12,"a;b"
"477",147,"male",2012-03-29,"a"
"478",148,"female",2012-02-09,"a;b"
"479",148,"female",2012-02-18,"a;b"
"480",148,"female",2012-02-28,"a;b;c"
"481",148,"female",2012-03-08,"a;b;c"
"482",148,"female",2012-03-18,"a;b;c"
"483",149,"female",2012-01-05,"a;b"
"484",149,"female",2012-01-11,"a;b"
"485",149,"female",2012-03-07,"a;b"
"486",150,"female",2012-02-07,"a"
"487",151,"female",2012-01-28,"a;b;c"
"488",151,"female",2012-02-26,"a;b;c"
"489",151,"female",2012-03-11,"a;b;c"
"490",152,"male",2012-01-04,"a;b;c"
"491",152,"male",2012-01-20,"a;b;c"
"492",152,"male",2012-02-07,"a;b;c"
"493",153,"female",2012-01-30,"a;b;c"
"494",154,"female",2012-03-01,"a;b;c"
"495",154,"female",2012-03-10,"a;b;c"
"496",154,"female",2012-03-26,"a;b"
"497",155,"female",2012-01-05,"a;b"
"498",155,"female",2012-03-11,"a;b"
"499",156,"male",2012-01-05,"a;c"
"500",156,"male",2012-02-19,"a;b;c"
"501",156,"male",2012-02-28,"a;c"
"502",156,"male",2012-03-21,"c"
"503",157,"female",2012-02-09,"a"
"504",157,"female",2012-02-11,"a;b"
"505",157,"female",2012-02-23,"a;c"
"506",157,"female",2012-02-29,"a"
"507",158,"male",2012-02-08,"a;c"
"508",158,"male",2012-03-28,"b;c"
"509",159,"female",2012-01-03,"b"
"510",159,"female",2012-01-06,"a"
"511",159,"female",2012-01-07,"a;b;c"
"512",159,"female",2012-01-22,"a;b"
"513",159,"female",2012-01-31,"a;b;c"
"514",159,"female",2012-02-11,"a;b;c"
"515",159,"female",2012-02-29,"a"
"516",160,"female",2012-01-30,"a;b"
"517",160,"female",2012-03-17,"a;b"
"518",160,"female",2012-03-20,"b;c"
"519",160,"female",2012-03-25,"a;b"
"520",161,"female",2012-01-27,"a;b"
"521",161,"female",2012-03-08,"b;c"
"522",161,"female",2012-03-28,"a;b;c"
"523",161,"female",2012-03-31,"a;b"
"524",163,"female",2012-02-18,"a;c"
"525",164,"female",2012-02-21,"a;b"
"526",164,"female",2012-02-24,"a;c"
"527",165,"male",2012-02-08,"a"
"528",165,"male",2012-02-16,"a;b"
"529",165,"male",2012-02-27,"a;b;c"
"530",165,"male",2012-03-05,"a;b;c"
"531",165,"male",2012-03-09,"a"
"532",166,"female",2012-02-18,"a;b"
"533",166,"female",2012-02-21,"a;b"
"534",166,"female",2012-03-18,"a"
"535",166,"female",2012-03-24,"a"
"536",167,"female",2012-01-28,"a;b;c"
"537",167,"female",2012-02-08,"a;b;c"
"538",168,"female",2012-01-07,"c"
"539",168,"female",2012-02-02,"a;b;c"
"540",168,"female",2012-02-23,"a;b"
"541",168,"female",2012-03-28,"a;c"
"542",169,"female",2012-02-28,"a"
"543",169,"female",2012-03-03,"a;b"
"544",170,"female",2012-01-11,"a;c"
"545",170,"female",2012-01-24,"a;c"
"546",170,"female",2012-02-04,"a;b;c"
"547",170,"female",2012-02-17,"a;b;c"
"548",170,"female",2012-03-27,"a;b"
"549",171,"female",2012-01-03,"a;b"
"550",171,"female",2012-01-15,"a;b"
"551",171,"female",2012-03-22,"b"
"552",171,"female",2012-03-28,"a;b"
"553",172,"female",2012-01-20,"a;b"
"554",172,"female",2012-02-28,"a;c"
"555",172,"female",2012-03-03,"a;b"
"556",173,"female",2012-01-25,"a"
"557",173,"female",2012-03-11,"a;b"
"558",173,"female",2012-03-13,"a;b"
"559",173,"female",2012-03-14,"a;b;c"
"560",173,"female",2012-03-15,"a;c"
"561",174,"female",2012-01-03,"b"
"562",174,"female",2012-01-24,"a;b;c"
"563",174,"female",2012-02-11,"a;b;c"
"564",175,"male",2012-01-09,"a;b"
"565",175,"male",2012-01-28,"a;b;c"
"566",175,"male",2012-02-14,"b"
"567",175,"male",2012-02-17,"a;c"
"568",175,"male",2012-03-15,"a;c"
"569",176,"female",2012-01-02,"a;b"
"570",176,"female",2012-01-04,"a;b"
"571",176,"female",2012-01-10,"a"
"572",176,"female",2012-03-16,"a;c"
"573",177,"female",2012-01-31,"a;b;c"
"574",177,"female",2012-02-23,"a;b"
"575",177,"female",2012-03-16,"a;b"
"576",177,"female",2012-03-27,"a;b;c"
"577",178,"female",2012-01-10,"a;b;c"
"578",178,"female",2012-01-13,"a;b"
"579",178,"female",2012-03-03,"a;b"
"580",178,"female",2012-03-09,"a;b"
"581",178,"female",2012-03-24,"b"
"582",179,"female",2012-01-07,"a;b;c"
"583",179,"female",2012-01-21,"a;b"
"584",179,"female",2012-03-03,"a;b;c"
"585",179,"female",2012-03-17,"a;c"
"586",180,"female",2012-01-27,"a;b"
"587",180,"female",2012-02-17,"a;b;c"
"588",180,"female",2012-03-14,"a;b;c"
"589",181,"male",2012-02-02,"a;b"
"590",181,"male",2012-02-13,"b;c"
"591",181,"male",2012-02-14,"a;b"
"592",181,"male",2012-03-25,"a"
"593",182,"female",2012-01-03,"a;c"
"594",182,"female",2012-01-07,"a;b"
"595",182,"female",2012-01-20,"a;b"
"596",183,"female",2012-01-11,"a;b;c"
"597",183,"female",2012-02-12,"a;b"
"598",184,"male",2012-01-02,"a;b"
"599",184,"male",2012-01-06,"a;b;c"
"600",184,"male",2012-02-11,"a;b"
"601",184,"male",2012-03-05,"c"
"602",184,"male",2012-03-07,"a"
"603",185,"female",2012-01-24,"b;c"
"604",186,"female",2012-01-25,"a;b"
"605",186,"female",2012-02-22,"a;b"
"606",187,"male",2012-01-04,"a;b;c"
"607",187,"male",2012-01-14,"a;b"
"608",187,"male",2012-02-02,"a;b"
"609",187,"male",2012-02-05,"a;b"
"610",187,"male",2012-03-11,"a;b"
"611",188,"male",2012-01-04,"a;b;c"
"612",188,"male",2012-01-06,"a;b;c"
"613",188,"male",2012-02-02,"a;b;c"
"614",188,"male",2012-03-17,"a;b"
"615",188,"male",2012-03-19,"a"
"616",189,"male",2012-01-10,"a;c"
"617",189,"male",2012-02-07,"a;b"
"618",189,"male",2012-02-08,"a;c"
"619",189,"male",2012-03-20,"a;b"
"620",190,"male",2012-01-19,"a;c"
"621",190,"male",2012-03-01,"a"
"622",190,"male",2012-03-27,"a;b"
"623",191,"female",2012-02-06,"a;b"
"624",191,"female",2012-02-13,"a;b;c"
"625",191,"female",2012-03-16,"a;b"
"626",192,"female",2012-01-18,"b"
"627",192,"female",2012-02-09,"a;b;c"
"628",192,"female",2012-02-16,"a;b;c"
"629",192,"female",2012-03-20,"a;c"
"630",192,"female",2012-03-27,"a;b"
"631",193,"male",2012-01-21,"a;b"
"632",193,"male",2012-01-22,"a"
"633",193,"male",2012-01-27,"a;b;c"
"634",194,"female",2012-01-03,"a;b"
"635",194,"female",2012-02-29,"a;b"
"636",194,"female",2012-03-08,"a;b;c"
"637",194,"female",2012-03-15,"a"
"638",194,"female",2012-03-31,"a;b"
"639",195,"female",2012-01-04,"a;b"
"640",195,"female",2012-02-12,"a;b"
"641",195,"female",2012-03-15,"a"
"642",196,"female",2012-01-16,"a"
"643",196,"female",2012-02-11,"a;b"
"644",196,"female",2012-02-12,"a;c"
"645",196,"female",2012-02-15,"a;b"
"646",196,"female",2012-03-03,"a;b"
"647",198,"female",2012-01-17,"a"
"648",198,"female",2012-02-04,"b"
"649",198,"female",2012-02-17,"a;c"
"650",198,"female",2012-03-18,"b"
"651",198,"female",2012-03-23,"a;b;c"
"652",199,"female",2012-02-09,"a;c"
"653",199,"female",2012-02-17,"a;b"
"654",199,"female",2012-03-14,"a;b"
"655",200,"female",2012-01-05,"a;b"
"656",200,"female",2012-03-05,"a;b"
"657",201,"female",2012-01-05,"a;c"
"658",201,"female",2012-01-28,"a;b;c"
"659",201,"female",2012-02-28,"a;b;c"
